Classifier,Feature Type,Accuracy,Balanced Accuracy,Precision,Recall,F1-score,Dataset
RandomForestClassifier,RNN,0.541,0.516968302,0.538375396,0.541,0.539599725,Mozilla
SVC,TF-IDF,0.605,0.515378178,0.568306452,0.605,0.508778327,Mozilla
SVC,DistilBERT,0.635,0.577957945,0.620080093,0.635,0.60395464,Mozilla
SVC,GCN,0.605,0.5,0.366025,0.605,0.456105919,Mozilla
SVC,RNN,0.605,0.5,0.366025,0.605,0.456105919,Mozilla
KNeighborsClassifier,TF-IDF,0.604,0.554534993,0.583854575,0.604,0.581406969,Mozilla
KNeighborsClassifier,DistilBERT,0.581,0.5491474,0.570968778,0.581,0.574133751,Mozilla
KNeighborsClassifier,GCN,0.545,0.50489591,0.527096783,0.545,0.532105877,Mozilla
KNeighborsClassifier,RNN,0.531,0.481462496,0.501668604,0.531,0.508355563,Mozilla
MultinomialNB,TF-IDF,0.588,0.50264672,0.528266648,0.588,0.501661896,Mozilla
MultinomialNB,DistilBERT,0.598,0.520577466,0.559454952,0.598,0.531251147,Mozilla
MultinomialNB,GCN,0.605,0.5,0.366025,0.605,0.456105919,Mozilla
MultinomialNB,RNN,0.605,0.5,0.366025,0.605,0.456105919,Mozilla
MLPClassifier,TF-IDF,0.589,0.530275133,0.559896495,0.589,0.55466376,Mozilla
MLPClassifier,DistilBERT,0.607,0.579422534,0.600088208,0.607,0.602432171,Mozilla
MLPClassifier,GCN,0.54,0.509551208,0.531426808,0.54,0.534801216,Mozilla
MLPClassifier,RNN,0.605,0.5,0.366025,0.605,0.456105919,Mozilla
RandomForestClassifier,TF-IDF,0.591,0.526216131,0.557972246,0.591,0.547556472,Mozilla
RandomForestClassifier,DistilBERT,0.618,0.539742651,0.59814487,0.618,0.55091479,Mozilla
RandomForestClassifier,GCN,0.602,0.503671932,0.54550784,0.602,0.477982772,Mozilla
RandomForestClassifier,RNN,0.507,0.481399728,0.504154467,0.507,0.505496001,Mozilla
SVC,TF-IDF,0.59,0.507375248,0.537693536,0.59,0.510733333,Mozilla
SVC,DistilBERT,0.602,0.549806465,0.580041494,0.602,0.576282207,Mozilla
SVC,GCN,0.605,0.5,0.366025,0.605,0.456105919,Mozilla
SVC,RNN,0.605,0.5,0.366025,0.605,0.456105919,Mozilla
KNeighborsClassifier,TF-IDF,0.534534535,0.524398525,0.544956783,0.534534535,0.538389188,Mozilla
KNeighborsClassifier,DistilBERT,0.583583584,0.548755135,0.571218827,0.583583584,0.574416478,Mozilla
KNeighborsClassifier,GCN,0.544544545,0.502892112,0.524899721,0.544544545,0.53001962,Mozilla
KNeighborsClassifier,RNN,0.548548549,0.505327354,0.527505815,0.548548549,0.532440481,Mozilla
MultinomialNB,TF-IDF,0.593593594,0.511918434,0.546778915,0.593593594,0.516134197,Mozilla
MultinomialNB,DistilBERT,0.616616617,0.536214268,0.596948239,0.616616617,0.54404151,Mozilla
MultinomialNB,GCN,0.604604605,0.5,0.365546728,0.604604605,0.455622185,Mozilla
MultinomialNB,RNN,0.604604605,0.5,0.365546728,0.604604605,0.455622185,Mozilla
MLPClassifier,TF-IDF,0.577577578,0.518383771,0.54493848,0.577577578,0.542008162,Mozilla
MLPClassifier,DistilBERT,0.60960961,0.523849443,0.582409028,0.60960961,0.523408042,Mozilla
MLPClassifier,GCN,0.525525526,0.498551848,0.520481149,0.525525526,0.52271401,Mozilla
MLPClassifier,RNN,0.604604605,0.5,0.365546728,0.604604605,0.455622185,Mozilla
RandomForestClassifier,TF-IDF,0.588588589,0.525737698,0.556172482,0.588588589,0.547735024,Mozilla
RandomForestClassifier,DistilBERT,0.602602603,0.527690921,0.569603198,0.602602603,0.540765946,Mozilla
RandomForestClassifier,GCN,0.596596597,0.497757566,0.506092454,0.596596597,0.468597419,Mozilla
RandomForestClassifier,RNN,0.517517518,0.494557381,0.516670342,0.517517518,0.517086002,Mozilla
SVC,TF-IDF,0.588588589,0.504275295,0.531662061,0.588588589,0.504135315,Mozilla
SVC,DistilBERT,0.584584585,0.523302456,0.552113718,0.584584585,0.54604975,Mozilla
SVC,GCN,0.604604605,0.5,0.365546728,0.604604605,0.455622185,Mozilla
SVC,RNN,0.604604605,0.5,0.365546728,0.604604605,0.455622185,Mozilla
KNeighborsClassifier,TF-IDF,0.546546547,0.49972965,0.521591274,0.546546547,0.526669124,Mozilla
KNeighborsClassifier,DistilBERT,0.570570571,0.540621594,0.561948767,0.570570571,0.565029457,Mozilla
KNeighborsClassifier,GCN,0.56956957,0.531033616,0.553839811,0.56956957,0.557582404,Mozilla
KNeighborsClassifier,RNN,0.522522523,0.480738117,0.5019145,0.522522523,0.508166663,Mozilla
MultinomialNB,TF-IDF,0.615615616,0.535824461,0.594486378,0.615615616,0.544328399,Mozilla
MultinomialNB,DistilBERT,0.600600601,0.522093218,0.563912889,0.600600601,0.530996138,Mozilla
MultinomialNB,GCN,0.604604605,0.5,0.365546728,0.604604605,0.455622185,Mozilla
MultinomialNB,RNN,0.604604605,0.5,0.365546728,0.604604605,0.455622185,Mozilla
MLPClassifier,TF-IDF,0.600600601,0.546621678,0.577389296,0.600600601,0.57242761,Mozilla
MLPClassifier,DistilBERT,0.614614615,0.524922458,0.600912615,0.614614615,0.518342919,Mozilla
MLPClassifier,GCN,0.493493493,0.464615643,0.487554763,0.493493493,0.490210895,Mozilla
MLPClassifier,RNN,0.604604605,0.5,0.365546728,0.604604605,0.455622185,Mozilla
RandomForestClassifier,TF-IDF,0.600600601,0.548373711,0.57835454,0.600600601,0.574564802,Mozilla
RandomForestClassifier,DistilBERT,0.624624625,0.548092883,0.611003557,0.624624625,0.561012372,Mozilla
RandomForestClassifier,GCN,0.597597598,0.499023388,0.515233541,0.597597598,0.470704234,Mozilla
RandomForestClassifier,RNN,0.546546547,0.525572135,0.546347951,0.546546547,0.546446719,Mozilla
SVC,TF-IDF,0.612612613,0.529836952,0.588946134,0.612612613,0.534148869,Mozilla
SVC,DistilBERT,0.612612613,0.554365412,0.590674053,0.612612613,0.57910782,Mozilla
SVC,GCN,0.604604605,0.5,0.365546728,0.604604605,0.455622185,Mozilla
SVC,RNN,0.604604605,0.5,0.365546728,0.604604605,0.455622185,Mozilla
KNeighborsClassifier,TF-IDF,0.511770727,0.506612746,0.507800339,0.511770727,0.503597761,Eclipse
KNeighborsClassifier,DistilBERT,0.525076766,0.522518174,0.523546776,0.525076766,0.523246514,Eclipse
KNeighborsClassifier,GCN,0.517911975,0.515137334,0.516126781,0.517911975,0.515716373,Eclipse
KNeighborsClassifier,RNN,0.507676561,0.506031429,0.506840157,0.507676561,0.507024222,Eclipse
MultinomialNB,TF-IDF,0.509723644,0.501206706,0.502244779,0.509723644,0.486315405,Eclipse
MultinomialNB,DistilBERT,0.531218014,0.525313534,0.528200567,0.531218014,0.520708001,Eclipse
MultinomialNB,GCN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
MultinomialNB,RNN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
MLPClassifier,TF-IDF,0.494370522,0.489062002,0.489174986,0.494370522,0.485481733,Eclipse
MLPClassifier,DistilBERT,0.561924258,0.551403556,0.570778395,0.561924258,0.528464747,Eclipse
MLPClassifier,GCN,0.504605937,0.503078673,0.503879241,0.504605937,0.504071631,Eclipse
MLPClassifier,RNN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
RandomForestClassifier,TF-IDF,0.508700102,0.503823682,0.50481766,0.508700102,0.50139791,Eclipse
RandomForestClassifier,DistilBERT,0.516888434,0.513498313,0.514584419,0.516888434,0.513514555,Eclipse
RandomForestClassifier,GCN,0.511770727,0.507513053,0.508590409,0.511770727,0.506291389,Eclipse
