Dataset,Classifier,Feature Type,Accuracy,Balanced Accuracy,Precision,Recall,F1-score
Mozilla,MultinomialNB,TF-IDF,0.615615616,0.535824461,0.594486378,0.615615616,0.544328399
Mozilla,MultinomialNB,BERT,0.606606607,0.527936122,0.575752381,0.606606607,0.537088284
Mozilla,MLPClassifier,TF-IDF,0.585585586,0.534642468,0.561497883,0.585585586,0.560952913
Mozilla,MLPClassifier,BERT,0.593593594,0.542579009,0.570791202,0.593593594,0.568927762
Mozilla,RandomForestClassifier,TF-IDF,0.605605606,0.547256685,0.581499752,0.605605606,0.571796845
Mozilla,RandomForestClassifier,BERT,0.611611612,0.534265236,0.585791382,0.611611612,0.545330659
Mozilla,SVC,TF-IDF,0.612612613,0.529836952,0.588946134,0.612612613,0.534148869
Mozilla,SVC,BERT,0.590590591,0.54622768,0.571803986,0.590590591,0.573078809
Eclipse,KNeighborsClassifier,TF-IDF,0.511770727,0.506612746,0.507800339,0.511770727,0.503597761
Eclipse,KNeighborsClassifier,BERT,0.502558854,0.500619092,0.501418312,0.502558854,0.50157658
Eclipse,MultinomialNB,TF-IDF,0.509723644,0.501206706,0.502244779,0.509723644,0.486315405
Eclipse,MultinomialNB,BERT,0.52814739,0.520969394,0.524528864,0.52814739,0.512297982
Eclipse,MLPClassifier,TF-IDF,0.507676561,0.501448047,0.502378616,0.507676561,0.495500279
Eclipse,MLPClassifier,BERT,0.562947799,0.559181035,0.561706594,0.562947799,0.558978957
Eclipse,RandomForestClassifier,TF-IDF,0.5209826,0.515471014,0.517345299,0.5209826,0.511726613
Eclipse,RandomForestClassifier,BERT,0.540429887,0.536872723,0.538584719,0.540429887,0.536797643
Eclipse,SVC,TF-IDF,0.523029683,0.512365059,0.51773093,0.523029683,0.485985232
Eclipse,SVC,BERT,0.540429887,0.538264107,0.539309087,0.540429887,0.539175704
Eclipse,KNeighborsClassifier,TF-IDF,0.505629478,0.509873999,0.511205628,0.505629478,0.500238468
Eclipse,KNeighborsClassifier,BERT,0.517911975,0.516446871,0.517260329,0.517911975,0.51742958
Eclipse,MultinomialNB,TF-IDF,0.530194473,0.522610513,0.526820286,0.530194473,0.512474515
Eclipse,MultinomialNB,BERT,0.541453429,0.532946208,0.540413867,0.541453429,0.519336561
Eclipse,MLPClassifier,TF-IDF,0.517911975,0.51374595,0.515032585,0.517911975,0.512716797
Eclipse,MLPClassifier,BERT,0.502558854,0.516006162,0.530752879,0.502558854,0.440291272
Eclipse,RandomForestClassifier,TF-IDF,0.530194473,0.524820358,0.527255831,0.530194473,0.521530995
Eclipse,RandomForestClassifier,BERT,0.560900716,0.557048839,0.559600231,0.560900716,0.556733096
Eclipse,SVC,TF-IDF,0.534288639,0.525156137,0.532053625,0.534288639,0.508260634
Eclipse,SVC,BERT,0.522006141,0.519565418,0.520537184,0.522006141,0.520352548
Eclipse,KNeighborsClassifier,TF-IDF,0.498464688,0.500201467,0.501000112,0.498464688,0.497715013
Eclipse,KNeighborsClassifier,BERT,0.496417605,0.494549888,0.495328089,0.496417605,0.495522045
Eclipse,MultinomialNB,TF-IDF,0.553735926,0.546476,0.553655,0.553735926,0.53820569
Eclipse,MultinomialNB,BERT,0.493346981,0.486277135,0.485364542,0.493346981,0.477128165
Eclipse,MLPClassifier,TF-IDF,0.504605937,0.498986367,0.499709981,0.504605937,0.4947362
Eclipse,MLPClassifier,BERT,0.498464688,0.507485771,0.510352102,0.498464688,0.471997865
Eclipse,RandomForestClassifier,TF-IDF,0.496417605,0.490703121,0.490805714,0.496417605,0.486077683
Eclipse,RandomForestClassifier,BERT,0.501535312,0.498407149,0.499176625,0.501535312,0.49864992
Eclipse,SVC,TF-IDF,0.541453429,0.532373285,0.540928877,0.541453429,0.516069198
Eclipse,SVC,BERT,0.52814739,0.526616776,0.527453061,0.52814739,0.527600711
Eclipse,KNeighborsClassifier,TF-IDF,0.51381781,0.516274785,0.517370464,0.51381781,0.512205585
Eclipse,KNeighborsClassifier,BERT,0.492323439,0.490776573,0.491561795,0.492323439,0.491775886
Eclipse,MultinomialNB,TF-IDF,0.53531218,0.527040696,0.532920076,0.53531218,0.514238937
Eclipse,MultinomialNB,BERT,0.544524053,0.535735272,0.54441049,0.544524053,0.520964629
Eclipse,MLPClassifier,TF-IDF,0.489252815,0.493143814,0.493623911,0.489252815,0.484547765
Eclipse,MLPClassifier,BERT,0.537359263,0.535311351,0.536298021,0.537359263,0.536252225
Eclipse,RandomForestClassifier,TF-IDF,0.51381781,0.509317865,0.510512897,0.51381781,0.507683683
