Dataset,Classifier,Feature Type,Accuracy,Balanced Accuracy,Precision,Recall,F1-score
Eclipse,RandomForestClassifier,TF-IDF,0.52814739,0.523588469,0.525437996,0.52814739,0.521966159
Eclipse,RandomForestClassifier,DistilBERT,0.544524053,0.541791884,0.54312068,0.544524053,0.542449652
Eclipse,SVC,TF-IDF,0.534288639,0.525156137,0.532053625,0.534288639,0.508260634
Eclipse,SVC,DistilBERT,0.5209826,0.517599013,0.51877303,0.5209826,0.517637313
Eclipse,KNeighborsClassifier,TF-IDF,0.498464688,0.500201467,0.501000112,0.498464688,0.497715013
Eclipse,KNeighborsClassifier,DistilBERT,0.532241556,0.529735322,0.530824581,0.532241556,0.530501413
Eclipse,MultinomialNB,TF-IDF,0.553735926,0.546476,0.553655,0.553735926,0.53820569
Eclipse,MultinomialNB,DistilBERT,0.502558854,0.496526787,0.497027173,0.502558854,0.491083737
Eclipse,MLPClassifier,TF-IDF,0.512794268,0.508988382,0.51004088,0.512794268,0.50846831
Eclipse,MLPClassifier,DistilBERT,0.523029683,0.520304132,0.521349101,0.523029683,0.520926291
Eclipse,RandomForestClassifier,TF-IDF,0.509723644,0.503907627,0.505011338,0.509723644,0.49919967
Eclipse,RandomForestClassifier,DistilBERT,0.547594678,0.544662794,0.546147193,0.547594678,0.545192703
Eclipse,SVC,TF-IDF,0.541453429,0.532373285,0.540928877,0.541453429,0.516069198
Eclipse,SVC,DistilBERT,0.509723644,0.508245471,0.509050587,0.509723644,0.509233055
Eclipse,KNeighborsClassifier,TF-IDF,0.51381781,0.516274785,0.517370464,0.51381781,0.512205585
Eclipse,KNeighborsClassifier,DistilBERT,0.526100307,0.524648272,0.525470072,0.526100307,0.525626105
Eclipse,MultinomialNB,TF-IDF,0.53531218,0.527040696,0.532920076,0.53531218,0.514238937
Eclipse,MultinomialNB,DistilBERT,0.525076766,0.518507715,0.521268652,0.525076766,0.511834304
Eclipse,MLPClassifier,TF-IDF,0.514841351,0.511857193,0.512836486,0.514841351,0.512265478
Eclipse,MLPClassifier,DistilBERT,0.552712385,0.549911438,0.551395429,0.552712385,0.550543125
Eclipse,RandomForestClassifier,TF-IDF,0.523029683,0.51866721,0.52021063,0.523029683,0.517349141
Eclipse,RandomForestClassifier,DistilBERT,0.544524053,0.541791884,0.54312068,0.544524053,0.542449652
